# 10 seconds đầu
relative_time_s,packet_id,device_timestamp_us,emg
176.744104,261847,176744116,821
176.744780,261848,176744792,815
176.745456,261849,176745468,809
176.746128,261850,176746140,802
176.746804,261851,176746816,795
176.747480,261852,176747492,787
176.748156,261853,176748168,779
176.748828,261854,176748840,771
176.749504,261855,176749516,762
176.750180,261856,176750192,754
176.750856,261857,176750868,745
176.751528,261858,176751540,736
176.752204,261859,176752216,727
176.752880,261860,176752892,718
176.753556,261861,176753568,709
176.754228,261862,176754240,930
176.754904,261863,176754916,931
176.755580,261864,176755592,930
176.756256,261865,176756268,931
176.756928,261866,176756940,931
176.757604,261867,176757616,931
176.758280,261868,176758292,931
176.758956,261869,176758968,931
176.759628,261870,176759640,931
176.760304,261871,176760316,930
176.760980,261872,176760992,931
176.761656,261873,176761668,931
176.762328,261874,176762340,931
176.763004,261875,176763016,931
176.763680,261876,176763692,931
176.764356,261877,176764368,930
176.765028,261878,176765040,931
176.765704,261879,176765716,931
176.766380,261880,176766392,931
176.767056,261881,176767068,931
176.767728,261882,176767740,931
176.768404,261883,176768416,930
176.769080,261884,176769092,931
176.769756,261885,176769768,930
176.770428,261886,176770440,930
176.771104,261887,176771116,930
176.771780,261888,176771792,930
176.772456,261889,176772468,930
176.773128,261890,176773140,930
176.773804,261891,176773816,930
176.774480,261892,176774492,930
176.775160,261893,176775172,929
176.775828,261894,176775840,919
176.776504,261895,176776516,905
176.777180,261896,176777192,892
176.777856,261897,176777868,879
176.778528,261898,176778540,867
176.779204,261899,176779216,854
176.779880,261900,176779892,842
176.780556,261901,176780568,830
176.781228,261902,176781240,818
176.781904,261903,176781916,806
176.782580,261904,176782592,795
176.783256,261905,176783268,804
176.783928,261906,176783940,793
176.784604,261907,176784616,783
176.785280,261908,176785292,774
176.785956,261909,176785968,765
176.786628,261910,176786640,755
176.787304,261911,176787316,746
176.787980,261912,176787992,736
176.788656,261913,176788668,727
176.789328,261914,176789340,717
176.790004,261915,176790016,708
176.790680,261916,176790692,698
176.791356,261917,176791368,688
176.792028,261918,176792040,679
176.792704,261919,176792716,670
176.793380,261920,176793392,855
176.794056,261921,176794068,930
176.794728,261922,176794740,930
176.795404,261923,176795416,930
176.796080,261924,176796092,930
176.796756,261925,176796768,930
176.797428,261926,176797440,930
176.798104,261927,176798116,930
176.798780,261928,176798792,930
176.799456,261929,176799468,930
176.800128,261930,176800140,930
176.800804,261931,176800816,930
176.801480,261932,176801492,930
176.802156,261933,176802168,930
176.802828,261934,176802840,930
176.803504,261935,176803516,930
176.804180,261936,176804192,930
176.804860,261937,176804872,930
176.805528,261938,176805540,930
176.806204,261939,176806216,930
176.806880,261940,176806892,930
